Yoruba,English
oorun,sun
mẹrin,four
laarin,between
ipinle,state
pa,keep
oju,eye
ko,never
jẹ ki,let
ro,thought
ilu,city
igi,tree
kọjá,cross
r’oko,farm
ibere,start
ki,might
itan,story
ri,saw
jina,far
okun,sea
fa,draw
osi,left
pẹ,late
sure,run
se ko,don’t
nigba ti,while
tẹ,press
sunmọ,close
alẹ,night
gidi,real
aye,life
diẹ,few
ariwa,north
iwe,book
gbe,carry
si mu,took
Imọ,science
jẹ,eat
yara,room
ọrẹ,friend
bẹrẹ,began
agutan,idea
eja,fish
oke,mountain
duro,stop
lẹẹkan,once
mimọ,base
gbọ,hear
ẹṣin,horse
ge,cut
daju,sure
wo,watch
awọ,color
oju,face
igi,wood
akọkọ,main
ìmọ,open
dabi,seem
papo,together
Itele,next
funfun,white
bẹrẹ,begin
ni,got
rin,walk
apẹẹrẹ,example
irorun,ease
iwe,paper
ẹgbẹ,group
nigbagbogbo,always
orin ti,music
awon ti,those
mejeeji,both
aami,mark
igba,often
lẹta,letter
titi,until
maili,mile
odo,river
ayọkẹlẹ,car
bayi,now
ri,find
ori,head
duro,stand
ti ara,own
iwe,page
yoo,should
orilẹ-ede,country
ri,found
idahun,answer
ile-iwe,school
dagba,grow
iwadi,study
si tun,still
ko,learn
ohun ọgbìn,plant
ideri,cover
ounje,food
oorun,sun
mẹrin,four
laarin,between
ipinle,state
pa,keep
oju,eye
ko,never
kẹhin,last
jẹ ki,let
ro,thought
ilu,city
igi,tree
kọjá,cross
r’oko,farm
ibere,start
ki,might
itan,story
ri,saw
jina,far
okun,sea
fa,draw
osi,left
pẹ,late
sure,run
se ko,don’t
nigba ti,while
tẹ,press
sunmọ,close
alẹ,night
gidi,real
aye,life
diẹ,few
ariwa,north
iwe,book
gbe,carry
si mu,took
Imọ,science
jẹ,eat
yara,room
ọrẹ,friend
bẹrẹ,began
agutan,idea
eja,fish
oke,mountain
duro,stop
lẹẹkan,once
mimọ,base
gbọ,hear
ẹṣin,horse
ge,cut
daju,sure
wo,watch
awọ,color
oju,face
igi,wood
akọkọ,main
ìmọ,open
dabi,seem
papo,together
Itele,next
funfun,white
ọmọ,children
bẹrẹ,begin
ni,got
rin,walk
apẹẹrẹ,example
irorun,ease
iwe,paper
ẹgbẹ,group
nigbagbogbo,always
orin ti,music
awon ti,those
mejeeji,both
aami,mark
igba,often
lẹta,letter
titi,until
maili,mile
odo,river
ayọkẹlẹ,car
niwon,since
oke,top
gbogbo,whole
ọba,king
ita,street
ọwọ,inch
isodipupo,multiply
ohunkohun,nothing
dajudaju,course
duro,stay
kẹkẹ,wheel
ni kikun,full
agbara,force
bulu,blue
ohun,object
pinnu,decide
dada,surface
jin,deep
erekusu,island
ẹsẹ,foot
eto,system
o nšišẹ,busy
igbeyewo,test
o gba,record
ọkọ,boat
wọpọ,common
wura,gold
ṣee ṣe,possible
ofurufu,plane
ipò,stead
gbẹ,dry
Iyanu,wonder
yen,laugh
ẹgbẹrun,thousand
seyin,ago
ran,ran
ṣayẹwo,check
ere,game
apẹrẹ,shape
equate,equate
gbona,hot
padanu,miss
mu,brought
ooru,heat
egbon,snow
taya,tire
mu,bring
bẹẹni,yes
o jina,distant
fọwọsi,fill
niwon,since
oke,top
gbogbo,whole
ọba,king
ita,street
ọwọ,inch
isodipupo,multiply
ohunkohun,nothing
dajudaju,course
duro,stay
kẹkẹ,wheel
ni kikun,full
agbara,force
bulu,blue
ohun,object
pinnu,decide
dada,surface
jin,deep
oṣupa,moon
erekusu,island
ẹsẹ,foot
eto,system
o nšišẹ,busy
igbeyewo,test
o gba,record
ọkọ,boat
wọpọ,common
wura,gold
ṣee ṣe,possible
ofurufu,plane
ipò,stead
gbẹ,dry
Iyanu,wonder
yen,laugh
ẹgbẹrun,thousand
seyin,ago
ran,ran
ṣayẹwo,check
ere,game
apẹrẹ,shape
equate,equate
gbona,hot
padanu,miss
mu,brought
ooru,heat
egbon,snow
taya,tire
mu,bring
bẹẹni,yes
o jina,distant
fọwọsi,fill
pataki,special
